accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,light,magn_x,magn_y,magn_z,orien_z,orien_x,orien_y,prox,sound,latitude,longitude,altitude,altit_google,speed,accuracy,orient,satellites,time,time_stamp
-4.0299,5.361,7.2808,-3.8657,5.8201,6.8814,-0.1754,-0.4423,0.4192,-13.7,91.35,9.06,2.0,32.89,-31.4,-21.34,260.58,-36.29,27.49,5.0,28.976,,,,NaN,,,,0 / 0,8,2020-10-20 19:54:44:576
-4.1783,4.746,7.9005,-3.9739,5.8123,6.8262,-0.1822,-1.0385,1.1036,-30.46,38.46,8.74,2.0,32.89,-31.4,-21.34,260.58,-36.29,27.49,5.0,28.976,,,,NaN,,,,0 / 0,13,2020-10-20 19:54:44:581
-4.1783,4.746,7.9005,-3.9739,5.8123,6.8262,-0.1822,-1.0385,1.1036,-30.46,38.46,8.74,2.0,32.89,-31.4,-21.34,260.58,-36.29,27.49,5.0,28.976,,,,NaN,,,,0 / 0,18,2020-10-20 19:54:44:586
-4.1783,4.746,7.9005,-3.9739,5.8123,6.8262,-0.1822,-1.0385,1.1036,-30.46,38.46,8.74,2.0,32.89,-31.4,-21.34,260.58,-36.29,27.49,5.0,28.976,,,,NaN,,,,0 / 0,22,2020-10-20 19:54:44:590
-4.4367,5.026,6.7783,-4.0347,5.7421,6.8498,-0.4138,-0.6993,-0.0514,-46.14,10.85,12.07,2.0,33.64,-32.45,-21.34,255.46,-36.35,30.21,5.0,28.976,,,,NaN,,,,0 / 0,28,2020-10-20 19:54:44:596
-4.4367,5.026,6.7783,-4.0347,5.7421,6.8498,-0.4138,-0.6993,-0.0514,-46.14,10.85,12.07,2.0,33.64,-32.45,-21.34,255.46,-36.35,30.21,5.0,28.976,,,,NaN,,,,0 / 0,32,2020-10-20 19:54:44:600
-4.4367,5.026,6.7783,-4.0347,5.7421,6.8498,-0.4138,-0.6993,-0.0514,-46.14,10.85,12.07,2.0,33.64,-32.45,-21.34,255.46,-36.35,30.21,5.0,28.976,,,,NaN,,,,0 / 0,37,2020-10-20 19:54:44:605
-4.0898,5.4376,7.1923,-4.0162,5.6623,6.9267,-0.0854,-0.2081,0.2859,-54.58,-1.33,15.5,2.0,32.29,-31.55,-21.49,255.46,-36.35,30.21,5.0,28.976,,,,NaN,,,,0 / 0,42,2020-10-20 19:54:44:610
-4.0898,5.4376,7.1923,-4.0162,5.6623,6.9267,-0.0854,-0.2081,0.2859,-54.58,-1.33,15.5,2.0,32.29,-31.55,-21.49,255.46,-36.35,30.21,5.0,28.976,,,,NaN,,,,0 / 0,48,2020-10-20 19:54:44:616
-4.0898,5.4376,7.1923,-4.0162,5.6623,6.9267,-0.0854,-0.2081,0.2859,-54.58,-1.33,15.5,2.0,32.29,-31.55,-21.49,255.46,-36.35,30.21,5.0,28.976,,,,NaN,,,,0 / 0,53,2020-10-20 19:54:44:621
