accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,light,magn_x,magn_y,magn_z,orien_z,orien_x,orien_y,prox,sound,latitude,longitude,altitude,altit_google,speed,accuracy,orient,satellites,time,time_stamp
-0.3546,3.8224,7.8958,-0.1768,4.1731,8.8727,-0.1748,-0.1884,-1.0556,14.46,20.2,-13.55,71.0,30.19,34.09,-27.44,324.87,-24.54,0.56,5.0,36.039,,,,NaN,,,,0 / 0,10,2020-10-20 19:36:32:301
-0.1942,3.9564,7.7929,-0.1768,4.1731,8.8727,-0.1748,-0.1884,-1.0556,10.33,24.68,-9.49,71.0,30.19,34.09,-27.44,324.87,-24.54,0.56,5.0,36.039,,,,NaN,,,,0 / 0,15,2020-10-20 19:36:32:306
-0.1942,3.9564,7.7929,-0.2415,4.1969,8.8599,-0.1748,-0.1884,-1.0556,10.33,24.68,-9.49,71.0,29.89,33.64,-27.29,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,20,2020-10-20 19:36:32:311
-0.1942,3.9564,7.7929,-0.2415,4.1969,8.8599,-0.1748,-0.1884,-1.0556,10.33,24.68,-9.49,71.0,29.89,33.64,-27.29,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,25,2020-10-20 19:36:32:316
0.5212,3.8727,7.9029,-0.2415,4.1969,8.8599,0.7841,-0.3401,-0.9791,5.47,25.1,-9.59,71.0,29.89,33.64,-27.29,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,31,2020-10-20 19:36:32:322
0.5212,3.8727,7.9029,-0.301,4.2032,8.8551,0.7841,-0.3401,-0.9791,5.47,25.1,-9.59,71.0,29.89,33.64,-27.29,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,36,2020-10-20 19:36:32:327
0.5212,3.8727,7.9029,-0.301,4.2032,8.8551,0.7841,-0.3401,-0.9791,-1.04,19.95,-18.06,71.0,29.89,33.64,-27.29,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,41,2020-10-20 19:36:32:332
0.5475,4.0402,8.7069,-0.301,4.2032,8.8551,0.887,-0.1694,-0.1681,-1.04,19.95,-18.06,71.0,29.59,34.24,-26.24,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,45,2020-10-20 19:36:32:336
0.5475,4.0402,8.7069,-0.353,4.1985,8.8554,0.887,-0.1694,-0.1681,-1.43,10.47,-23.03,71.0,29.59,34.24,-26.24,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,50,2020-10-20 19:36:32:341
0.5475,4.0402,8.7069,-0.353,4.1985,8.8554,0.887,-0.1694,-0.1681,-1.43,10.47,-23.03,71.0,29.59,34.24,-26.24,325.54,-25.34,1.56,5.0,36.039,,,,NaN,,,,0 / 0,56,2020-10-20 19:36:32:347
0.2771,4.2699,8.159,-0.366,4.1936,8.8572,0.6439,0.0683,-0.7151,-3.67,-6.44,-28.49,58.0,32.29,33.34,-27.44,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,65,2020-10-20 19:36:32:356
0.2771,4.2699,8.159,-0.366,4.1936,8.8572,0.6439,0.0683,-0.7151,-3.67,-6.44,-28.49,58.0,32.29,33.34,-27.44,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,66,2020-10-20 19:36:32:357
0.2771,4.2699,8.159,-0.366,4.1936,8.8572,0.6439,0.0683,-0.7151,-3.67,-6.44,-28.49,58.0,32.29,33.34,-27.44,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,71,2020-10-20 19:36:32:362
0.2771,4.2699,8.159,-0.366,4.1936,8.8572,0.6439,0.0683,-0.7151,-3.67,-6.44,-28.49,58.0,32.29,33.34,-27.44,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,75,2020-10-20 19:36:32:366
-0.9982,4.7604,9.0252,-0.3404,4.1684,8.8701,-0.6572,0.5844,0.1389,-10.74,-32.86,-34.58,58.0,31.39,32.44,-26.24,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,81,2020-10-20 19:36:32:372
-0.9982,4.7604,9.0252,-0.3404,4.1684,8.8701,-0.6572,0.5844,0.1389,-10.74,-32.86,-34.58,58.0,31.39,32.44,-26.24,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,86,2020-10-20 19:36:32:377
-0.9982,4.7604,9.0252,-0.3404,4.1684,8.8701,-0.6572,0.5844,0.1389,-10.74,-32.86,-34.58,58.0,31.39,32.44,-26.24,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,91,2020-10-20 19:36:32:382
-0.4814,4.9064,9.7287,-0.2911,4.1492,8.8809,-0.1896,0.7472,0.8264,-5.59,-40.39,-34.09,58.0,31.39,32.44,-26.24,323.65,-25.32,2.37,5.0,36.039,,,,NaN,,,,0 / 0,95,2020-10-20 19:36:32:386
-0.4814,4.9064,9.7287,-0.2911,4.1492,8.8809,-0.1896,0.7472,0.8264,-5.59,-40.39,-34.09,58.0,30.49,33.04,-27.14,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,101,2020-10-20 19:36:32:392
-0.0842,4.7149,9.664,-0.2369,4.1482,8.8829,0.1535,0.554,0.7538,2.39,-41.47,-37.21,58.0,30.49,33.04,-27.14,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,107,2020-10-20 19:36:32:398
-0.0842,4.7149,9.664,-0.2369,4.1482,8.8829,0.1535,0.554,0.7538,2.39,-41.47,-37.21,58.0,30.49,33.04,-27.14,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,111,2020-10-20 19:36:32:402
-0.0842,4.7149,9.664,-0.2369,4.1482,8.8829,0.1535,0.554,0.7538,5.5,-48.58,-38.29,58.0,30.49,33.04,-27.14,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,115,2020-10-20 19:36:32:406
-0.7231,4.1072,9.2405,-0.1694,4.1582,8.8798,-0.5531,-0.065,0.3309,5.5,-48.58,-38.29,58.0,30.79,33.79,-27.89,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,120,2020-10-20 19:36:32:411
-0.7231,4.1072,9.2405,-0.1694,4.1582,8.8798,-0.5531,-0.065,0.3309,5.5,-48.58,-38.29,58.0,30.79,33.79,-27.89,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,126,2020-10-20 19:36:32:417
-0.7231,4.1072,9.2405,-0.1694,4.1582,8.8798,-0.5531,-0.065,0.3309,8.69,-56.42,-36.96,58.0,30.79,33.79,-27.89,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,130,2020-10-20 19:36:32:421
-0.7661,4.4733,8.7643,-0.0748,4.1817,8.8701,-0.691,0.2772,-0.1361,8.69,-56.42,-36.96,58.0,30.79,33.79,-27.89,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,135,2020-10-20 19:36:32:426
-0.7661,4.4733,8.7643,-0.0748,4.1817,8.8701,-0.691,0.2772,-0.1361,8.69,-56.42,-36.96,58.0,30.79,33.79,-27.89,325.11,-25.03,1.88,5.0,36.039,,,,NaN,,,,0 / 0,140,2020-10-20 19:36:32:431
-0.7661,4.4733,8.7643,-0.0748,4.1817,8.8701,-0.691,0.2772,-0.1361,14.78,-74.51,-34.06,58.0,30.79,34.84,-29.69,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,146,2020-10-20 19:36:32:437
-0.1153,4.3823,8.7763,0.1006,4.2204,8.8515,-0.2162,0.1476,-0.1054,14.78,-74.51,-34.06,58.0,30.79,34.84,-29.69,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,151,2020-10-20 19:36:32:442
-0.1153,4.3823,8.7763,0.1006,4.2204,8.8515,-0.2162,0.1476,-0.1054,20.55,-136.25,-28.77,58.0,30.79,34.84,-29.69,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,156,2020-10-20 19:36:32:447
-0.1153,4.3823,8.7763,0.2971,4.2541,8.8309,-0.2162,0.1476,-0.1054,20.55,-136.25,-28.77,58.0,29.74,35.59,-27.89,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,161,2020-10-20 19:36:32:452
-0.1751,4.8537,8.8098,0.2971,4.2541,8.8309,-0.5899,0.5669,-0.0383,21.67,-172.27,-29.05,58.0,29.74,35.59,-27.89,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,166,2020-10-20 19:36:32:457
-0.1751,4.8537,8.8098,0.2971,4.2541,8.8309,-0.5899,0.5669,-0.0383,21.67,-172.27,-29.05,58.0,29.74,35.59,-27.89,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,170,2020-10-20 19:36:32:461
-0.1751,4.8537,8.8098,0.2971,4.2541,8.8309,-0.5899,0.5669,-0.0383,21.67,-172.27,-29.05,58.0,29.74,35.59,-27.89,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,175,2020-10-20 19:36:32:466
-0.491,5.0786,9.2118,0.6764,4.3101,8.7827,-1.1699,0.7528,0.3969,22.83,-200.06,-29.51,64.0,29.74,35.59,-27.89,325.4,-25.24,0.48,5.0,36.039,,,,NaN,,,,0 / 0,181,2020-10-20 19:36:32:472
