accel_x,accel_y,accel_z,grav_x,grav_y,grav_z,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,light,magn_x,magn_y,magn_z,orien_z,orien_x,orien_y,prox,sound,latitude,longitude,altitude,altit_google,speed,accuracy,orient,satellites,time,time_stamp
1.5693,0.8936,7.7019,0.849,1.2841,9.6851,0.7111,-0.4045,-2.0884,-5.44,105.14,10.46,5.0,-14.96,58.84,-30.14,12.74,-7.09,-7.82,5.0,24.193,,,,NaN,,,,0 / 0,16,2020-10-20 19:52:21:970
1.5693,0.8936,7.7019,0.849,1.2841,9.6851,0.7111,-0.4045,-2.0884,-5.44,105.14,10.46,5.0,-14.96,58.84,-30.14,12.74,-7.09,-7.82,5.0,24.193,,,,NaN,,,,0 / 0,27,2020-10-20 19:52:21:981
1.5693,0.8936,7.7019,0.849,1.2841,9.6851,0.7111,-0.4045,-2.0884,-5.44,105.14,10.46,5.0,-14.96,58.84,-30.14,12.74,-7.09,-7.82,5.0,24.193,,,,NaN,,,,0 / 0,28,2020-10-20 19:52:21:982
1.5693,0.8936,7.7019,0.849,1.2841,9.6851,0.7111,-0.4045,-2.0884,-5.44,105.14,10.46,5.0,-14.96,58.84,-30.14,12.74,-7.09,-7.82,5.0,24.193,,,,NaN,,,,0 / 0,28,2020-10-20 19:52:21:982
1.5693,0.8936,7.7019,0.849,1.2841,9.6851,0.7111,-0.4045,-2.0884,-5.44,105.14,10.46,5.0,-14.96,58.84,-30.14,12.74,-7.09,-7.82,5.0,24.193,,,,NaN,,,,0 / 0,28,2020-10-20 19:52:21:982
1.5693,0.8936,7.7019,0.849,1.2841,9.6851,0.7111,-0.4045,-2.0884,-5.44,105.14,10.46,5.0,-14.96,58.84,-30.14,12.74,-7.09,-7.82,5.0,24.193,,,,NaN,,,,0 / 0,32,2020-10-20 19:52:21:986
0.648,0.6735,8.6902,0.5862,1.2469,9.7094,0.0558,-0.5864,-1.1197,-16.32,107.66,11.58,7.0,-12.41,58.39,-30.89,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,38,2020-10-20 19:52:21:992
0.648,0.6735,8.6902,0.5862,1.2469,9.7094,0.0558,-0.5864,-1.1197,-16.32,107.66,11.58,7.0,-12.41,58.39,-30.89,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,43,2020-10-20 19:52:21:997
0.648,0.6735,8.6902,0.5862,1.2469,9.7094,0.0558,-0.5864,-1.1197,-16.32,107.66,11.58,7.0,-12.41,58.39,-30.89,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,48,2020-10-20 19:52:22:002
0.2915,0.573,8.5873,0.328,1.2011,9.7273,-0.0397,-0.64,-1.2357,-17.02,108.71,16.72,7.0,-10.16,58.99,-31.79,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,53,2020-10-20 19:52:22:007
0.2915,0.573,8.5873,0.328,1.2011,9.7273,-0.0397,-0.64,-1.2357,-17.02,108.71,16.72,7.0,-10.16,58.99,-31.79,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,58,2020-10-20 19:52:22:012
0.2915,0.573,8.5873,0.328,1.2011,9.7273,-0.0397,-0.64,-1.2357,-10.72,117.04,17.46,7.0,-10.16,58.99,-31.79,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,63,2020-10-20 19:52:22:017
0.392,0.5993,9.1951,-0.0454,1.1583,9.7379,0.4378,-0.5698,-0.6341,-10.72,117.04,17.46,7.0,-10.16,58.99,-31.79,9.33,-7.3,-3.46,5.0,24.193,,,,NaN,,,,0 / 0,67,2020-10-20 19:52:22:021
0.392,0.5993,9.1951,-0.0454,1.1583,9.7379,0.4378,-0.5698,-0.6341,-5.26,119.77,13.01,7.0,-8.81,61.39,-32.39,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,73,2020-10-20 19:52:22:027
0.392,0.5993,9.1951,-0.0454,1.1583,9.7379,0.4378,-0.5698,-0.6341,-5.26,119.77,13.01,7.0,-8.81,61.39,-32.39,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,78,2020-10-20 19:52:22:032
0.392,0.5993,9.1951,-0.0454,1.1583,9.7379,0.4378,-0.5698,-0.6341,-5.26,119.77,13.01,7.0,-8.81,61.39,-32.39,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,82,2020-10-20 19:52:22:036
1.0907,0.9989,9.542,-0.3293,1.15,9.7334,1.423,-0.1617,-0.2808,-1.03,114.35,2.51,7.0,-8.81,61.39,-32.39,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,87,2020-10-20 19:52:22:041
1.0907,0.9989,9.542,-0.3293,1.15,9.7334,1.423,-0.1617,-0.2808,-1.03,114.35,2.51,7.0,-8.06,59.59,-33.89,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,93,2020-10-20 19:52:22:047
1.0907,0.9989,9.542,-0.3293,1.15,9.7334,1.423,-0.1617,-0.2808,-1.03,114.35,2.51,7.0,-8.06,59.59,-33.89,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,98,2020-10-20 19:52:22:052
1.2462,1.7383,8.9534,-0.6338,1.1582,9.7174,1.8857,0.5698,-0.8503,5.03,78.86,-33.57,7.0,-8.06,59.59,-33.89,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,103,2020-10-20 19:52:22:057
1.2462,1.7383,8.9534,-0.6338,1.1582,9.7174,1.8857,0.5698,-0.8503,5.03,78.86,-33.57,7.0,-8.06,59.59,-33.89,8.09,-6.78,0.27,5.0,24.193,,,,NaN,,,,0 / 0,107,2020-10-20 19:52:22:061
